,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
96,Butaritari,3.0707,172.7902,80.52800000000006,67,100,4.01,KI,1648412294
97,Magistral'nyy,56.1725,107.4458,10.18399999999999,93,100,1.93,RU,1648412294
98,Khandyga,62.6667,135.6,-18.507999999999953,99,87,1.36,RU,1648412295
99,Strezhevoy,60.7333,77.5889,3.5060000000000286,99,71,2.44,RU,1648412236
100,Tuktoyaktuk,69.4541,-133.0374,-11.199999999999946,64,0,3.6,CA,1648412295
101,Tarko-Sale,64.9225,77.785,2.714000000000034,98,62,4.18,RU,1648412296
102,Sandakan,5.8402,118.1179,74.87600000000009,94,20,3.09,MY,1648412296
103,George Town,5.4112,100.3354,80.52800000000006,86,20,2.57,MY,1648412297
104,Cascavel,-24.9558,-53.4553,76.56800000000008,58,0,1.07,BR,1648412103
105,Khatanga,71.9667,102.5,-21.657999999999944,100,98,0.62,RU,1648412297
106,Tura,25.5198,90.2201,71.13200000000002,51,1,1.81,IN,1648412298
107,Bilāra,26.1792,73.7056,79.73600000000008,14,0,3.99,IN,1648412298
108,Kourou,5.1552,-52.6478,84.25400000000005,78,86,5.13,GF,1648412299
109,Iskateley,67.6803,53.1512,7.124000000000013,94,100,7.74,RU,1648412299
110,Pampa,35.5362,-100.9599,71.56400000000004,30,0,4.63,US,1648412220
111,Rzhishchëv,49.9689,31.0463,32.97200000000004,40,81,4.73,UA,1648412300
112,Qasigiannguit,68.8193,-51.1922,28.65200000000008,80,44,2.2,GL,1648412300
113,Vagay,57.9375,69.0217,10.976000000000091,95,94,3.24,RU,1648412300
114,Praia da Vitória,38.7333,-27.0667,61.754000000000055,94,40,4.54,PT,1648412301
115,Abhā,18.2164,42.5053,60.62000000000006,77,0,2.06,SA,1648412301
116,Arraial do Cabo,-22.9661,-42.0278,80.56400000000004,83,40,4.63,BR,1648412142
117,Bluff,-46.6,168.3333,52.98800000000004,90,15,1.78,NZ,1648412302
118,São José da Coroa Grande,-8.8978,-35.1478,79.86200000000005,83,100,3.88,BR,1648412302
119,Hamilton,39.1834,-84.5333,43.214000000000034,45,40,8.23,US,1648412302
120,Bengkulu,-3.8004,102.2655,75.16400000000003,90,67,2.82,ID,1648412303
121,Maceió,-9.6658,-35.7353,81.842,78,75,4.12,BR,1648412289
122,Haines Junction,60.7522,-137.5108,30.14600000000005,51,89,1.54,CA,1648412303
123,Tegul'det,57.3064,88.1667,0.35600000000003007,99,70,1.02,RU,1648412304
124,Severo-Kuril'sk,50.6789,156.125,32.05400000000005,90,72,7.81,RU,1648412304
125,Oksbøl,55.6268,8.2876,42.908,91,96,5.61,DK,1648412304
126,Bredasdorp,-34.5322,20.0403,64.92200000000004,83,54,0.95,ZA,1648412305
127,Portland,45.5234,-122.6762,67.1,71,100,2.06,US,1648412055
128,Arrondissement de Pithiviers,48.1667,2.25,57.812000000000054,61,0,2.25,FR,1648412305
129,Marawi,7.9986,124.2928,67.13600000000007,93,42,0.85,PH,1648412112
130,Sisimiut,66.9395,-53.6735,28.741999999999997,66,14,5.42,GL,1648412306
131,Newtownards,54.5924,-5.6909,51.74600000000005,76,0,0.51,GB,1648412306
132,Fort Nelson,58.8053,-122.7002,24.38600000000007,54,75,1.03,CA,1648412306
133,Saint George,37.1041,-113.5841,83.78600000000007,10,0,3.09,US,1648412307
134,Camacha,33.0833,-16.3333,58.424000000000014,77,20,3.09,PT,1648412307
135,Makkah al Mukarramah,21.4267,39.8261,75.92000000000006,36,0,2.35,SA,1648412093
136,Guangming,45.3333,122.7833,29.372000000000035,39,0,3.87,CN,1648412308
137,Mossamedes,-15.1961,12.1522,72.32000000000006,73,96,6.78,AO,1648412308
138,Tingo María,-9.2895,-76.0088,78.96200000000006,89,99,1.12,PE,1648412171
139,Atar,20.5169,-13.0499,81.17600000000009,12,82,3.44,MR,1648412309
140,Kamenka,51.3223,42.7678,24.188000000000045,83,100,7.9,RU,1648412309
141,Valentín Gómez Farías,28.2167,-106.5833,78.26000000000008,5,100,4.32,MX,1648412309
142,Whitehorse,60.7161,-135.0538,33.02600000000009,55,80,1.34,CA,1648411827
143,Dambulla,7.86,80.6517,73.22000000000006,96,5,1.04,LK,1648412280
144,Airai,-8.9266,125.4092,59.55800000000001,90,97,0.4,TL,1648412310
145,Kumul,42.8,93.45,49.604000000000056,33,100,8.49,CN,1648412311
146,Kieta,-6.2167,155.6333,79.12400000000001,84,100,1.27,PG,1648412311
147,Amapá,1.0,-52.0,74.15600000000003,99,100,1.36,BR,1648412311
148,Mackay,-21.15,149.2,68.684,89,18,2.7,AU,1648412189
149,Luau,-10.7073,22.2247,64.49000000000002,96,61,3.39,AO,1648412312
150,Malanje,-9.5402,16.341,67.64000000000001,89,100,0.54,AO,1648412312
151,San Cristobal,7.7669,-72.225,75.38000000000004,61,100,2.48,VE,1648412165
152,Chui,-33.6971,-53.4616,78.85400000000006,38,0,3.35,UY,1648412313
153,Mogadishu,2.0371,45.3438,81.01400000000004,74,100,7.57,SO,1648412313
154,Carnarvon,-24.8667,113.6333,69.87200000000004,83,40,2.06,AU,1648412314
155,Marsh Harbour,26.5412,-77.0636,72.17600000000009,49,0,8.74,BS,1648412314
156,Salalah,17.0151,54.0924,77.66600000000001,52,6,0.57,OM,1648412073
157,Vaini,-21.2,-175.2,78.96200000000006,94,75,1.54,TO,1648412314
158,Sarh,9.1429,18.3923,86.84600000000005,11,23,2.24,TD,1648412315
159,Lesogorsk,56.0458,99.5136,4.820000000000061,99,67,1.58,RU,1648412315
160,Swan Hill,-35.3378,143.5544,67.19000000000003,51,100,2.21,AU,1648412315
161,Outjo,-20.1167,16.15,69.49400000000007,36,3,1.74,NA,1648412316
162,Grand Baie,-20.0182,57.5802,79.26800000000009,85,0,5.01,MU,1648412107
163,Aguié,13.506,7.7786,78.74600000000005,9,7,5.24,NE,1648412316
164,Verkhniy Tagil,57.3733,59.9556,31.35200000000008,88,100,4.71,RU,1648412316
165,Porto-Novo,6.4965,2.6036,83.53399999999999,77,37,4.59,BJ,1648412019
166,Champerico,14.3,-91.9167,82.94000000000003,61,62,5.27,GT,1648412317
167,Alta Floresta,-9.8756,-56.0861,85.82000000000006,74,40,3.09,BR,1648412317
168,Muisne,0.6,-80.0333,82.50800000000001,69,77,2.95,EC,1648412318
169,Fare,-16.7,-151.0167,81.77000000000007,73,11,5.67,PF,1648412318
170,Clevedon,51.4406,-2.8575,53.42000000000006,88,3,6.17,GB,1648412319
171,São João da Barra,-21.6403,-41.0511,86.09000000000002,85,0,6.84,BR,1648412319
172,Vardø,70.3705,31.1107,15.782000000000018,92,40,4.63,NO,1648412319
173,Sokolo,14.7328,-6.1219,94.56800000000008,20,43,1.98,ML,1648412320
174,Tuatapere,-46.1333,167.6833,52.483999999999995,91,7,1.51,NZ,1648412320
175,Kloulklubed,7.0419,134.2556,82.76000000000008,77,94,9.14,PW,1648412321
176,Mouila,-1.8685,11.0559,74.93000000000004,98,57,1.07,GA,1648412321
177,Tasiilaq,65.6145,-37.6368,28.562000000000058,83,100,5.24,GL,1648412321
178,Arlit,18.7369,7.3853,81.10400000000006,5,6,4.37,NE,1648412029
179,Abnūb,27.2696,31.1511,61.016000000000005,25,0,4.36,EG,1648412322
180,Narsaq,60.9167,-46.05,41.21600000000001,63,100,4.04,GL,1648412322
181,Karratha,-20.7377,116.8463,81.75200000000008,66,100,3.83,AU,1648412322
182,Dingle,10.9995,122.6711,75.38000000000004,92,64,3.24,PH,1648412323
183,Buraidah,26.326,43.975,61.25,24,0,4.15,SA,1648412323
184,Miercurea Sibiului,45.8833,23.8,36.95,47,6,2.51,RO,1648412324
185,Burns Lake,54.2331,-125.7533,36.82400000000001,79,100,1.12,CA,1648412324
186,Darhan,49.4867,105.9228,28.31000000000008,74,100,5.6,MN,1648412324
187,Imeni Zhelyabova,58.9544,36.5956,19.07600000000009,87,42,4.87,RU,1648412325
188,Vila Franca do Campo,37.7167,-25.4333,61.214000000000034,87,17,4.53,PT,1648412325
189,Geraldton,-28.7667,114.6,73.81400000000004,78,100,3.6,AU,1648412325
190,Ntcheu,-14.8203,34.6359,65.642,98,100,1.49,MW,1648412326
191,Assiut,27.181,31.1837,60.98000000000004,24,0,4.23,EG,1648412326
192,Ejea de los Caballeros,42.1263,-1.1372,52.016000000000005,67,0,2.11,ES,1648412326
193,Farafangana,-22.8167,47.8333,77.25200000000008,91,55,2.91,MG,1648412327
194,Qaanaaq,77.484,-69.3632,9.644000000000073,86,100,2.0,GL,1648412117
195,Galveston,29.3669,-94.9669,85.08200000000002,56,0,8.23,US,1648412327
196,Esperance,-33.8667,121.9,62.40200000000008,73,100,5.89,AU,1648412328
197,Buchanan,5.8808,-10.0467,79.89800000000002,86,99,3.28,LR,1648412328
198,Lüderitz,-26.6481,15.1594,66.03800000000004,64,0,2.21,NA,1648412328
199,Hilo,19.7297,-155.09,78.53000000000004,65,0,3.09,US,1648412329
200,La Ronge,55.1001,-105.2842,19.616000000000007,53,100,6.17,CA,1648412329
201,Chunoyar,57.4467,97.3217,-2.8299999999999415,100,100,1.42,RU,1648412329
